Buildfile: C:\Users\Albert\Battlecode2013\build.xml

-init:

build-scala:

build:
    [javac] C:\Users\Albert\Battlecode2013\build.xml:64: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds

run:
     [java] amd64
     [java] opengl = false
     [java] minimap = false
     [java] Matchviewer 2
     [java] null null A B null
     [java] Creating a game%%%%%%%%%
     [java] [server] -------------------- Match Starting --------------------
     [java] [server]            base vs. donothing on empty
     [java] Round: 0
     [java] 0	38	2	10000	base.RobotPlayer.run(RobotPlayer.java:8)
     [java] 0	38	1	9998	base.RobotPlayer.run(RobotPlayer.java:11)
     [java] 0	38	3	9997	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9994	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9992	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9989	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9986	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9984	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9983	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9980	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9978	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9977	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9974	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9972	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9971	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9968	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9966	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9965	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9962	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9960	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9959	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9956	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9954	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	3	9953	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9950	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	1	9948	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	4	9947	base.RobotPlayer.$SWITCH_TABLE$battlecode$common$RobotType(RobotPlayer.java:5)
     [java] 0	38	2	9943	base.RobotPlayer.run(RobotPlayer.java:11)
     [java] 0	38	1	9941	base.RobotPlayer.run(RobotPlayer.java:11)
     [java] 0	38	2	9940	base.RobotPlayer.run(RobotPlayer.java:11)
     [java] 0	38	4	9938	base.RobotPlayer.run(RobotPlayer.java:13)
     [java] 0	38	3	9934	base.HQRobot.<init>(HQRobot.java:22)
     [java] 0	38	2	9931	base.BaseRobot.<init>(BaseRobot.java:14)
     [java] 0	38	3	9929	base.BaseRobot.<init>(BaseRobot.java:15)
     [java] 0	38	4	9926	base.BaseRobot.<init>(BaseRobot.java:16)
     [java] 0	38	1	9922	base.BaseRobot.<init>(BaseRobot.java:16)
     [java] 0	38	1	9921	base.BaseRobot.<init>(BaseRobot.java:16)
     [java] 0	38	2	9920	base.BaseRobot.<init>(BaseRobot.java:17)
     [java] 0	38	5	9918	base.NavMode.<clinit>(NavMode.java:4)
     [java] 0	38	5	9913	base.NavMode.<init>(NavMode.java:3)
     [java] 0	38	1	9908	base.NavMode.<clinit>(NavMode.java:4)
     [java] 0	38	5	9907	base.NavMode.<clinit>(NavMode.java:5)
     [java] 0	38	5	9902	base.NavMode.<init>(NavMode.java:3)
     [java] 0	38	1	9897	base.NavMode.<clinit>(NavMode.java:5)
     [java] 0	38	5	9896	base.NavMode.<clinit>(NavMode.java:6)
     [java] 0	38	5	9891	base.NavMode.<init>(NavMode.java:3)
     [java] 0	38	1	9886	base.NavMode.<clinit>(NavMode.java:6)
     [java] 0	38	5	9885	base.NavMode.<clinit>(NavMode.java:7)
     [java] 0	38	5	9880	base.NavMode.<init>(NavMode.java:3)
     [java] 0	38	1	9875	base.NavMode.<clinit>(NavMode.java:7)
     [java] 0	38	5	9874	base.NavMode.<clinit>(NavMode.java:8)
     [java] 0	38	5	9869	base.NavMode.<init>(NavMode.java:3)
     [java] 0	38	1	9864	base.NavMode.<clinit>(NavMode.java:8)
     [java] 0	38	24	9863	base.NavMode.<clinit>(NavMode.java:3)
     [java] 0	38	2	9839	base.NavSystem.<clinit>(NavSystem.java:22)
     [java] 0	38	2	9837	base.NavSystem.<clinit>(NavSystem.java:36)
     [java] 0	38	3	9835	base.NavSystem.<clinit>(NavSystem.java:38)
     [java] 0	38	2	9832	base.NavSystem.init(NavSystem.java:45)
     [java] 0	38	3	9830	base.NavSystem.init(NavSystem.java:46)
     [java] 0	38	2	9827	base.NavSystem.init(NavSystem.java:47)
     [java] metadata: base donothing
     [java] 0	38	1	9825	base.NavSystem.init(NavSystem.java:47)
     [java] 0	38	1	9824	base.NavSystem.init(NavSystem.java:47)
     [java] 0	38	4	9823	base.NavSystem.init(NavSystem.java:50)
     [java] 0	38	5	9819	base.NavSystem.init(NavSystem.java:50)
     [java] 0	38	19	9814	base.NavSystem.init(NavSystem.java:53)
     [java] 0	38	12	9795	base.NavSystem.init(NavSystem.java:57)
     [java] 0	38	1	9783	base.NavSystem.init(NavSystem.java:57)
     [java] 0	38	12	9782	base.NavSystem.init(NavSystem.java:58)
     [java] 0	38	1	9770	base.NavSystem.init(NavSystem.java:58)
     [java] 0	38	2	9769	base.NavSystem.init(NavSystem.java:60)
     [java] 0	38	1	9767	base.NavSystem.init(NavSystem.java:60)
     [java] 0	38	2	9766	base.NavSystem.init(NavSystem.java:61)
     [java] 0	38	1	9764	base.NavSystem.init(NavSystem.java:61)
     [java] 0	38	9	9763	base.NavSystem.init(NavSystem.java:63)
     [java] 0	38	1	9754	base.NavSystem.init(NavSystem.java:63)
     [java] 0	38	1	9753	base.NavSystem.init(NavSystem.java:64)
     [java] 0	38	2	9752	base.BaseRobot.<init>(BaseRobot.java:18)
     [java] 0	38	2	9750	base.BroadcastSystem.<clinit>(BroadcastSystem.java:21)
     [java] 0	38	1	9748	base.BroadcastSystem.<clinit>(BroadcastSystem.java:22)
     [java] 0	38	2	9747	base.BroadcastSystem.init(BroadcastSystem.java:29)
     [java] 0	38	3	9745	base.BroadcastSystem.init(BroadcastSystem.java:30)
     [java] 0	38	1	9742	base.BroadcastSystem.init(BroadcastSystem.java:31)
     [java] 0	38	2	9741	base.BaseRobot.<init>(BaseRobot.java:19)
     [java] 0	38	5	9739	base.ChannelType.<clinit>(ChannelType.java:6)
     [java] 0	38	5	9734	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9729	base.ChannelType.<clinit>(ChannelType.java:7)
     [java] 0	38	5	9728	base.ChannelType.<clinit>(ChannelType.java:8)
     [java] 0	38	5	9723	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9718	base.ChannelType.<clinit>(ChannelType.java:8)
     [java] 0	38	5	9717	base.ChannelType.<clinit>(ChannelType.java:9)
     [java] 0	38	5	9712	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9707	base.ChannelType.<clinit>(ChannelType.java:9)
     [java] 0	38	5	9706	base.ChannelType.<clinit>(ChannelType.java:10)
     [java] 0	38	5	9701	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9696	base.ChannelType.<clinit>(ChannelType.java:10)
     [java] 0	38	5	9695	base.ChannelType.<clinit>(ChannelType.java:12)
     [java] 0	38	5	9690	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9685	base.ChannelType.<clinit>(ChannelType.java:13)
     [java] 0	38	5	9684	base.ChannelType.<clinit>(ChannelType.java:14)
     [java] 0	38	5	9679	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9674	base.ChannelType.<clinit>(ChannelType.java:14)
     [java] 0	38	5	9673	base.ChannelType.<clinit>(ChannelType.java:15)
     [java] 0	38	5	9668	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9663	base.ChannelType.<clinit>(ChannelType.java:15)
     [java] 0	38	5	9662	base.ChannelType.<clinit>(ChannelType.java:16)
     [java] 0	38	5	9657	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9652	base.ChannelType.<clinit>(ChannelType.java:16)
     [java] 0	38	5	9651	base.ChannelType.<clinit>(ChannelType.java:17)
     [java] 0	38	5	9646	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9641	base.ChannelType.<clinit>(ChannelType.java:17)
     [java] 0	38	5	9640	base.ChannelType.<clinit>(ChannelType.java:18)
     [java] 0	38	5	9635	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9630	base.ChannelType.<clinit>(ChannelType.java:18)
     [java] 0	38	5	9629	base.ChannelType.<clinit>(ChannelType.java:19)
     [java] 0	38	5	9624	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9619	base.ChannelType.<clinit>(ChannelType.java:19)
     [java] 0	38	5	9618	base.ChannelType.<clinit>(ChannelType.java:20)
     [java] 0	38	5	9613	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9608	base.ChannelType.<clinit>(ChannelType.java:20)
     [java] 0	38	5	9607	base.ChannelType.<clinit>(ChannelType.java:22)
     [java] 0	38	5	9602	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9597	base.ChannelType.<clinit>(ChannelType.java:23)
     [java] 0	38	5	9596	base.ChannelType.<clinit>(ChannelType.java:24)
     [java] 0	38	5	9591	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9586	base.ChannelType.<clinit>(ChannelType.java:24)
     [java] 0	38	5	9585	base.ChannelType.<clinit>(ChannelType.java:25)
     [java] 0	38	5	9580	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9575	base.ChannelType.<clinit>(ChannelType.java:25)
     [java] 0	38	5	9574	base.ChannelType.<clinit>(ChannelType.java:26)
     [java] 0	38	5	9569	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9564	base.ChannelType.<clinit>(ChannelType.java:26)
     [java] 0	38	5	9563	base.ChannelType.<clinit>(ChannelType.java:27)
     [java] 0	38	5	9558	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9553	base.ChannelType.<clinit>(ChannelType.java:27)
     [java] 0	38	5	9552	base.ChannelType.<clinit>(ChannelType.java:28)
     [java] 0	38	5	9547	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9542	base.ChannelType.<clinit>(ChannelType.java:28)
     [java] 0	38	5	9541	base.ChannelType.<clinit>(ChannelType.java:29)
     [java] 0	38	5	9536	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	1	9531	base.ChannelType.<clinit>(ChannelType.java:29)
     [java] 0	38	5	9530	base.ChannelType.<clinit>(ChannelType.java:30)
     [java] 0	38	5	9525	base.ChannelType.<init>(ChannelType.java:5)
     [java] 0	38	84	9520	base.ChannelType.<clinit>(ChannelType.java:30)
     [java] 0	38	1	9436	base.ChannelType.<clinit>(ChannelType.java:32)
     [java] 0	38	20	9435	battlecode.engine.instrumenter.lang.System.arraycopy(System.java:30)
     [java] 0	38	16	9415	base.ChannelType.values(ChannelType.java:1)
     [java] 0	38	2	9399	base.ChannelType.<clinit>(ChannelType.java:32)
     [java] 0	38	5	9397	base.ChannelType.<clinit>(ChannelType.java:33)
     [java] 0	38	8	9392	base.EncampmentJobSystem.<clinit>(EncampmentJobSystem.java:28)
